Customer ID,Age,Gender,Annual Income,Spending Score
CUST0096,46,Male,65600,77
CUST0016,42,Male,22800,68
CUST0031,51,Female,40800,62
CUST0159,32,Male,102300,20
CUST0129,50,Male,65900,77
CUST0116,50,Male,52300,83
CUST0070,29,Male,62100,64
CUST0171,36,Female,104800,34
CUST0175,47,Male,89000,31
CUST0046,44,Female,29300,66
CUST0067,44,Female,25900,70
CUST0183,18,Male,94100,1
CUST0166,61,Female,74900,20
CUST0079,37,Female,87200,89
CUST0187,38,Male,87400,36
CUST0178,67,Female,88800,12
CUST0057,62,Male,26300,86
CUST0153,43,Male,101400,32
CUST0083,41,Female,94100,85
CUST0069,30,Male,61400,94
CUST0125,32,Male,65700,80
CUST0017,38,Female,30200,68
CUST0149,46,Male,123600,30
CUST0094,41,Female,55600,85
CUST0066,38,Female,32800,78
CUST0061,26,Female,17900,60
CUST0085,19,Female,64700,79
CUST0068,59,Male,78900,81
CUST0126,21,Female,69400,80
CUST0133,26,Female,52200,77
CUST0010,43,Female,22900,68
CUST0019,18,Male,33300,77
CUST0056,61,Female,24200,74
CUST0076,51,Male,67200,90
CUST0151,23,Female,110800,36
CUST0105,51,Male,61500,72
CUST0136,47,Male,91800,33
CUST0138,57,Male,107200,35
CUST0165,18,Female,105300,29
CUST0077,47,Male,52200,83
CUST0080,18,Male,56400,82
CUST0198,28,Female,97800,23
CUST0039,34,Female,23100,70
CUST0025,34,Male,25400,71
CUST0123,41,Female,65400,88
CUST0196,18,Male,111000,10
CUST0030,29,Male,30600,59
CUST0020,34,Female,27700,67
CUST0144,18,Female,101800,19
CUST0087,19,Male,83600,87
CUST0115,31,Female,72300,73
CUST0174,48,Female,62400,27
CUST0006,70,Female,20200,63
CUST0127,28,Female,81200,70
CUST0118,43,Male,72100,91
CUST0074,57,Female,63200,69
CUST0141,47,Male,90500,2
CUST0099,50,Female,72200,92
CUST0173,26,Female,78500,12
CUST0097,49,Male,70100,67
CUST0170,36,Male,110000,21
CUST0098,42,Female,63000,73
CUST0032,28,Male,25600,76
CUST0013,32,Female,28400,69
CUST0036,39,Female,34800,68
CUST0120,57,Male,63800,86
CUST0043,61,Male,24000,55
CUST0190,48,Female,84300,19
CUST0091,44,Male,71900,89
CUST0137,32,Female,116300,11
CUST0052,60,Male,31800,88
CUST0128,35,Male,44900,77
CUST0163,58,Male,100000,27
CUST0042,42,Female,31300,80
CUST0119,54,Male,58000,81
CUST0114,18,Male,70400,59
CUST0027,27,Female,31200,71
CUST0140,32,Female,98800,41
CUST0101,47,Male,69400,72
CUST0112,23,Male,58000,82
CUST0003,44,Male,32500,70
CUST0078,70,Male,54800,94
CUST0047,57,Male,33200,58
CUST0188,62,Female,104900,50
CUST0192,29,Female,109700,46
CUST0086,24,Female,71100,72
CUST0162,35,Female,91900,18
CUST0037,31,Male,27300,79
CUST0191,44,Female,85200,31
CUST0062,28,Female,26000,66
CUST0023,42,Female,35300,76
CUST0142,50,Female,91900,19
CUST0102,31,Female,71200,69
CUST0034,45,Male,23100,68
CUST0012,35,Female,32700,78
CUST0195,36,Male,90100,48
CUST0160,46,Male,106900,17
CUST0007,45,Female,28800,77
CUST0028,31,Female,30200,55
CUST0121,39,Female,70400,73
CUST0005,66,Male,16300,61
CUST0033,52,Male,24900,63
CUST0143,46,Female,97000,9
CUST0146,27,Female,106700,26
CUST0110,51,Male,71500,81
CUST0145,47,Male,91300,31
CUST0011,29,Female,33300,74
CUST0063,48,Male,29000,63
CUST0113,21,Male,78700,93
CUST0147,43,Female,82400,25
CUST0167,70,Female,91300,38
CUST0001,21,Male,29800,67
CUST0199,36,Female,112200,22
CUST0154,32,Male,94400,34
CUST0071,43,Male,48700,86
CUST0124,29,Female,67100,80
CUST0065,40,Female,32300,58
CUST0045,38,Female,28700,74
CUST0164,26,Female,91600,32
CUST0029,68,Male,30500,58
CUST0041,23,Female,32500,69
CUST0109,38,Female,82200,57
CUST0156,34,Male,86400,50
CUST0157,40,Male,99700,27
CUST0026,25,Male,25900,68
CUST0024,53,Male,27100,79
CUST0185,35,Male,98800,25
CUST0148,21,Female,95100,26
CUST0082,34,Female,84500,82
CUST0040,24,Male,31900,62
CUST0169,18,Female,78600,26
CUST0048,43,Female,29300,73
CUST0095,34,Female,65900,64
CUST0155,59,Male,93100,31
CUST0044,42,Male,29400,76
CUST0139,32,Female,84400,22
CUST0004,51,Male,33600,59
CUST0106,35,Male,70800,81
CUST0054,24,Male,26100,62
CUST0134,43,Female,82700,18
CUST0181,38,Male,91700,25
CUST0179,42,Male,100100,43
CUST0186,64,Male,102400,16
CUST0050,54,Male,28400,74
CUST0081,61,Male,58100,94
CUST0035,38,Female,31700,85
CUST0008,27,Male,26100,73
CUST0111,18,Female,61100,79
CUST0092,22,Male,64600,85
CUST0084,57,Male,57500,75
CUST0177,49,Female,99800,30
CUST0182,48,Male,96100,32
CUST0090,47,Female,75000,76
CUST0009,18,Male,27900,79
CUST0014,38,Female,34800,77
CUST0060,59,Female,33800,87
CUST0172,38,Female,87100,30
CUST0132,45,Male,64700,68
CUST0018,27,Female,22200,60
CUST0073,40,Male,58400,77
CUST0176,21,Female,121600,18
CUST0135,18,Male,90000,23
CUST0168,35,Male,73100,36
CUST0184,42,Female,103700,15
CUST0064,35,Male,31500,68
CUST0055,22,Male,25200,74
CUST0108,37,Female,86800,83
CUST0051,46,Female,29700,72
CUST0197,40,Female,96400,14
CUST0059,35,Male,22800,76
CUST0049,35,Female,32100,67
CUST0089,46,Female,65800,85
CUST0022,63,Female,23900,77
CUST0058,38,Female,37000,80
CUST0161,33,Male,99000,14
CUST0193,42,Female,92900,15
CUST0130,62,Male,69600,81
CUST0038,46,Female,23000,63
CUST0158,43,Female,85600,25
CUST0194,56,Male,110400,31
CUST0002,27,Male,21800,81
CUST0053,42,Female,19300,70
CUST0150,30,Male,97500,17
CUST0131,22,Female,70700,87
CUST0152,49,Male,96000,35
CUST0104,43,Female,68000,67
CUST0100,43,Female,77100,84
CUST0117,36,Female,76300,64
CUST0088,30,Female,59100,67
CUST0075,51,Male,60100,75
CUST0122,58,Male,68500,85
CUST0200,39,Male,91000,37
CUST0021,39,Male,26900,72
CUST0189,26,Male,112900,15
CUST0072,51,Female,66500,75
CUST0107,47,Male,67100,88
CUST0015,54,Male,30800,65
CUST0093,18,Male,66800,94
CUST0180,36,Female,77800,42
CUST0103,38,Male,68500,78
